axis_a,axis_b,literature_status,literature_direction,expected_sign,pair_status,benchmark_class,counts_in_benchmark,upstream,original_direction,tag_changed,reason
IL10,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL12,IL2,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL10,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,IL2,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL18,IL2,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,IL15,NK_IFNG,b_to_a,-1,DIRECTIONAL_b_to_a,NK_IFNG,True,IL15,b_to_a,False,IL-15 drives NK-cell IFNg in vivo (sec 2.7 NK cascade).  IL15 upstream -> -1.
IL12,IL13,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL10,IL12,ANTAGONISM,no_lit,0,NEGATIVE_NO_CASCADE,ANTAGONISM,False,,no_lit,False,IL-10 -> STAT3 SUPPRESSES Il12b (Moore 2001).  Negative cascade -> DESCRIPTIVE per sec 26.4.
IL15,IL1b,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,IL12,BIDIRECTIONAL,bidir,,BIDIRECTIONAL,BIDIRECTIONAL,False,,bidir,False,"Bidirectional feedback: IL-12 -> STAT4 -> IFNg in NK/T, and IFNg -> STAT1 -> Il12b in DCs/macs.  Direction cell-type-dependent in vivo; excluded from signed accuracy."
IL15,IL18,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL6,TNFa,NFKB_STAT3,b_to_a,-1,DIRECTIONAL_b_to_a,NFKB_STAT3,True,TNFa,b_to_a,False,TNF -> TNFR1 -> NF-kB induces IL6; IL6 -> STAT3.  TNFa upstream -> -1.  NF-kB vs STAT3 distinct (unlike IL1b/TNFa which share NF-kB).
IL1b,IL6,NFKB_STAT3,a_to_b,1,DIRECTIONAL_a_to_b,NFKB_STAT3,True,IL1b,a_to_b,False,IL-1R -> MyD88 -> NF-kB induces IL6; IL6 -> STAT3 (distinct).  IL1b upstream -> +1.  NF-kB vs STAT3 distinct -> precondition holds.
IL2,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL10,IL4,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL12,IL15,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,IL2,NK_IFNG,b_to_a,-1,DIRECTIONAL_b_to_a,NK_IFNG,True,IL2,b_to_a,False,IL-2 supports NK-cell IFNg production (sec 2.7 cascade).  IL2 upstream -> -1.
IL10,IL2,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL18,IL4,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL12,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL12,IL1b,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL1b,TNFa,OVERLAP_NFKB,no_lit,,UNKNOWN,OVERLAP_NFKB,False,,no_lit,False,Both IL1b and TNF signal NF-kB; programs overlap (sec 24 known failure).  cross_asym sign unreliable on shared activation axis.  DESCRIPTIVE.
IL18,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL15,IL4,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL18,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL2,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL12,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL15,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL13,IL18,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL13,IL2,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL15,IL2,OVERLAP_STAT5,no_lit,,UNKNOWN,OVERLAP_STAT5,False,,no_lit,False,IL-2 and IL-15 both signal common gamma-chain -> STAT5; programs overlap heavily; cross_asym sign unreliable.  DESCRIPTIVE.
IL1b,IL4,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL12,IL18,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL4,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL1b,IL2,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL10,IL15,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL10,IL18,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,IL12,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,IL13,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,IL1b,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL15,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,IL10,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,IL4,ANTAGONISM,no_lit,0,NEGATIVE_NO_CASCADE,ANTAGONISM,False,,no_lit,False,"Th2 IL-4 suppresses Th1 IFNg (antagonism, not cascade).  |cross_asym| may still be large; DESCRIPTIVE per sec 26.4."
IFNg,IL10,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL18,IL1b,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL13,IL15,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,IL13,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,IL4,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
